join_key,state_code,year,deaths,rate_per_100k
NSW-2020,NSW,2020,479,5.3
NSW-2021,NSW,2021,504,5.5
NSW-2022,NSW,2022,586,6.4
NSW-2023,NSW,2023,534,5.7
VIC-2020,VIC,2020,319,4.5
VIC-2021,VIC,2021,371,5.2
VIC-2022,VIC,2022,387,5.4
VIC-2023,VIC,2023,382,5.1
QLD-2020,QLD,2020,328,5.8
QLD-2021,QLD,2021,361,6.1
QLD-2022,QLD,2022,411,6.9
QLD-2023,QLD,2023,389,6.3
SA-2020,SA,2020,104,5.1
SA-2021,SA,2021,121,6.0
SA-2022,SA,2022,119,5.7
SA-2023,SA,2023,112,5.2
WA-2020,WA,2020,172,5.9
WA-2021,WA,2021,153,5.0
WA-2022,WA,2022,167,5.4
WA-2023,WA,2023,144,4.6
TAS-2020,TAS,2020,57,8.1
TAS-2021,TAS,2021,40,5.7
TAS-2022,TAS,2022,65,9.4
TAS-2023,TAS,2023,61,8.3
NT-2020,NT,2020,27,11.8
NT-2021,NT,2021,22,9.2
NT-2022,NT,2022,19,0
NT-2023,NT,2023,16,0
ACT-2020,ACT,2020,24,5.4
ACT-2021,ACT,2021,19,0
ACT-2022,ACT,2022,26,5.7
ACT-2023,ACT,2023,29,6.3
