year,state_code,crash_type,crashes,deaths
1989,ACT,Multiple,11,13
1989,ACT,Single,15,19
1989,NSW,Multiple,379,517
1989,NSW,Single,405,442
1989,NT,Multiple,9,11
1989,NT,Single,48,50
1989,QLD,Multiple,181,219
1989,QLD,Single,195,209
1989,SA,Multiple,80,99
1989,SA,Single,121,123
1989,TAS,Multiple,23,34
1989,TAS,Single,45,46
1989,VIC,Multiple,311,377
1989,VIC,Single,370,399
1989,WA,Multiple,89,102
1989,WA,Single,125,140
1990,ACT,Multiple,18,20
1990,ACT,Single,6,6
1990,NSW,Multiple,308,374
1990,NSW,Single,394,423
1990,NT,Multiple,8,13
1990,NT,Single,46,55
1990,QLD,Multiple,148,177
1990,QLD,Single,199,222
1990,SA,Multiple,75,93
1990,SA,Single,112,133
1990,TAS,Multiple,26,31
1990,TAS,Single,37,40
1990,VIC,Multiple,230,273
1990,VIC,Single,262,275
1990,WA,Multiple,67,77
1990,WA,Single,114,119
1991,ACT,Multiple,11,12
1991,ACT,Single,5,5
1991,NSW,Multiple,249,298
1991,NSW,Single,336,365
1991,NT,Multiple,8,8
1991,NT,Single,52,59
1991,QLD,Multiple,155,177
1991,QLD,Single,204,218
1991,SA,Multiple,79,90
1991,SA,Single,87,94
1991,TAS,Multiple,29,38
1991,TAS,Single,37,39
1991,VIC,Multiple,196,245
1991,VIC,Single,239,258
1991,WA,Multiple,75,84
1991,WA,Single,112,123
1992,ACT,Multiple,9,10
1992,ACT,Single,9,10
1992,NSW,Multiple,272,329
1992,NSW,Single,304,320
1992,NT,Multiple,4,6
1992,NT,Single,38,48
1992,QLD,Multiple,158,200
1992,QLD,Single,205,216
1992,SA,Multiple,56,72
1992,SA,Single,86,93
1992,TAS,Multiple,29,37
1992,TAS,Single,30,37
1992,VIC,Multiple,183,203
1992,VIC,Single,182,193
1992,WA,Multiple,55,71
1992,WA,Single,116,129
1993,ACT,Multiple,6,6
1993,ACT,Single,5,6
1993,NSW,Multiple,227,268
1993,NSW,Single,291,313
1993,NT,Multiple,6,6
1993,NT,Single,35,38
1993,QLD,Multiple,147,169
1993,QLD,Single,210,227
1993,SA,Multiple,71,84
1993,SA,Single,120,134
1993,TAS,Multiple,18,21
1993,TAS,Single,29,37
1993,VIC,Multiple,170,209
1993,VIC,Single,211,226
1993,WA,Multiple,68,76
1993,WA,Single,123,133
1994,ACT,Multiple,6,6
1994,ACT,Single,9,11
1994,NSW,Multiple,242,310
1994,NSW,Single,310,336
1994,NT,Multiple,6,9
1994,NT,Single,30,32
1994,QLD,Multiple,171,201
1994,QLD,Single,193,217
1994,SA,Multiple,56,65
1994,SA,Single,87,94
1994,TAS,Multiple,23,26
1994,TAS,Single,29,33
1994,VIC,Multiple,159,182
1994,VIC,Single,186,195
1994,WA,Multiple,62,70
1994,WA,Single,133,141
1995,ACT,Multiple,7,7
1995,ACT,Single,7,8
1995,NSW,Multiple,231,268
1995,NSW,Single,332,352
1995,NT,Multiple,10,13
1995,NT,Single,46,48
1995,QLD,Multiple,171,200
1995,QLD,Single,237,256
1995,SA,Multiple,56,71
1995,SA,Single,107,110
1995,TAS,Multiple,26,30
1995,TAS,Single,27,27
1995,VIC,Multiple,191,227
1995,VIC,Single,180,191
1995,WA,Multiple,64,68
1995,WA,Single,130,141
1996,ACT,Multiple,11,14
1996,ACT,Single,6,9
1996,NSW,Multiple,230,261
1996,NSW,Single,308,320
1996,NT,Multiple,11,21
1996,NT,Single,47,51
1996,QLD,Multiple,144,183
1996,QLD,Single,194,202
1996,SA,Multiple,61,77
1996,SA,Single,101,104
1996,TAS,Multiple,23,29
1996,TAS,Single,30,35
1996,VIC,Multiple,182,208
1996,VIC,Single,200,209
1996,WA,Multiple,82,97
1996,WA,Single,138,150
1997,ACT,Multiple,5,5
1997,ACT,Single,12,12
1997,NSW,Multiple,239,275
1997,NSW,Single,286,301
1997,NT,Multiple,17,20
1997,NT,Single,39,40
1997,QLD,Multiple,138,165
1997,QLD,Single,183,195
1997,SA,Multiple,51,63
1997,SA,Single,72,85
1997,TAS,Multiple,13,14
1997,TAS,Single,16,18
1997,VIC,Multiple,165,186
1997,VIC,Single,181,191
1997,WA,Multiple,60,66
1997,WA,Single,124,131
1998,ACT,Multiple,10,11
1998,ACT,Single,10,11
1998,NSW,Multiple,204,251
1998,NSW,Single,287,305
1998,NT,Multiple,16,21
1998,NT,Single,43,48
1998,QLD,Multiple,98,110
1998,QLD,Single,159,169
1998,SA,Multiple,63,73
1998,SA,Single,89,95
1998,TAS,Multiple,18,19
1998,TAS,Single,29,29
1998,VIC,Multiple,165,195
1998,VIC,Single,183,195
1998,WA,Multiple,75,90
