year,state_code,speed_band,crashes,deaths
1989,ACT,≤50,26,32
1989,NSW,100,302,439
1989,NSW,110+,7,9
1989,NSW,60,380,404
1989,NSW,70–80,85,97
1989,NSW,90,3,3
1989,NSW,≤50,7,7
1989,NT,100,2,2
1989,NT,60,14,14
1989,NT,70–80,8,9
1989,NT,90,1,1
1989,NT,≤50,32,35
1989,QLD,100,179,221
1989,QLD,60,152,159
1989,QLD,70–80,40,43
1989,QLD,90,1,1
1989,QLD,≤50,4,4
1989,SA,100,12,13
1989,SA,110+,81,99
1989,SA,60,93,93
1989,SA,70–80,14,16
1989,SA,≤50,1,1
1989,TAS,100,43,52
1989,TAS,60,21,23
1989,TAS,70–80,4,5
1989,VIC,100,284,348
1989,VIC,110+,21,29
1989,VIC,60,302,322
1989,VIC,70–80,12,13
1989,VIC,90,9,9
1989,VIC,Other,48,50
1989,VIC,≤50,5,5
1989,WA,100,3,3
1989,WA,110+,90,108
1989,WA,60,71,76
1989,WA,70–80,35,38
1989,WA,90,8,9
1989,WA,≤50,7,8
1990,ACT,≤50,24,26
1990,NSW,100,238,289
1990,NSW,110+,10,10
1990,NSW,60,338,370
1990,NSW,70–80,103,114
1990,NSW,90,5,6
1990,NSW,≤50,8,8
1990,NT,100,7,7
1990,NT,60,10,13
1990,NT,70–80,6,6
1990,NT,≤50,31,42
1990,QLD,100,172,214
1990,QLD,60,122,128
1990,QLD,70–80,52,56
1990,QLD,≤50,1,1
1990,SA,100,6,11
1990,SA,110+,89,117
1990,SA,60,79,84
1990,SA,70–80,12,13
1990,SA,≤50,1,1
1990,TAS,100,36,41
1990,TAS,60,19,22
1990,TAS,70–80,8,8
1990,VIC,100,237,276
1990,VIC,60,183,193
1990,VIC,70–80,9,11
1990,VIC,90,5,5
1990,VIC,Other,51,56
1990,VIC,≤50,7,7
1990,WA,100,1,1
1990,WA,110+,69,77
1990,WA,60,71,72
1990,WA,70–80,27,33
1990,WA,90,12,12
1990,WA,≤50,1,1
1991,ACT,≤50,16,17
1991,NSW,100,240,286
1991,NSW,110+,16,26
1991,NSW,60,249,267
1991,NSW,70–80,67,69
1991,NSW,90,8,10
1991,NSW,≤50,5,5
1991,NT,100,4,4
1991,NT,60,8,9
1991,NT,70–80,6,6
1991,NT,≤50,42,48
1991,QLD,100,164,188
1991,QLD,60,148,154
1991,QLD,70–80,45,51
1991,QLD,≤50,2,2
1991,SA,100,14,17
1991,SA,110+,67,79
1991,SA,60,60,63
1991,SA,70–80,23,23
1991,SA,≤50,2,2
1991,TAS,100,36,43
1991,TAS,60,24,27
1991,TAS,70–80,5,6
1991,TAS,≤50,1,1
1991,VIC,100,208,252
1991,VIC,60,167,185
1991,VIC,70–80,3,3
1991,VIC,90,4,4
1991,VIC,Other,51,57
1991,VIC,≤50,2,2
1991,WA,100,2,5
1991,WA,110+,84,94
1991,WA,60,59,63
1991,WA,70–80,32,34
1991,WA,90,9,10
1991,WA,≤50,1,1
1992,ACT,≤50,18,20
1992,NSW,100,220,277
1992,NSW,110+,27,27
1992,NSW,60,234,245
1992,NSW,70–80,71,75
1992,NSW,90,21,22
1992,NSW,≤50,3,3
1992,NT,100,4,4
1992,NT,60,5,11
1992,NT,70–80,5,5
1992,NT,≤50,28,34
1992,QLD,100,167,202
1992,QLD,60,149,160
1992,QLD,70–80,43,50
1992,QLD,90,1,1
1992,QLD,≤50,3,3
1992,SA,100,23,24
1992,SA,110+,44,57
1992,SA,60,61,69
1992,SA,70–80,12,13
1992,SA,≤50,2,2
1992,TAS,100,38,53
1992,TAS,60,15,15
1992,TAS,70–80,4,4
1992,TAS,≤50,2,2
1992,VIC,100,160,182
1992,VIC,60,147,151
1992,VIC,70–80,3,3
1992,VIC,90,3,3
1992,VIC,Other,52,57
1992,WA,100,1,1
1992,WA,110+,76,97
1992,WA,60,43,44
1992,WA,70–80,24,26
1992,WA,90,12,16
1992,WA,≤50,15,16
1993,ACT,≤50,11,12
1993,NSW,100,200,238
1993,NSW,110+,35,44
1993,NSW,60,203,218
1993,NSW,70–80,59,59
1993,NSW,90,14,15
1993,NSW,≤50,7,7
1993,NT,100,1,1
1993,NT,60,9,9
1993,NT,70–80,4,5
1993,NT,≤50,27,29
1993,QLD,100,179,205
1993,QLD,60,136,143
1993,QLD,70–80,41,47
1993,QLD,≤50,1,1
1993,SA,100,25,29
1993,SA,110+,57,71
1993,SA,60,86,94
1993,SA,70–80,18,19
1993,SA,90,1,1
1993,SA,≤50,4,4
1993,TAS,100,22,30
1993,TAS,110+,3,3
1993,TAS,60,18,20
1993,TAS,70–80,3,4
1993,TAS,90,1,1
1993,VIC,100,171,208
1993,VIC,110+,9,12
1993,VIC,60,146,154
1993,VIC,70–80,19,22
1993,VIC,90,4,4
1993,VIC,Other,28,31
1993,VIC,≤50,4,4
1993,WA,100,3,3
1993,WA,110+,74,81
1993,WA,60,70,75
1993,WA,70–80,16,18
1993,WA,90,6,7
1993,WA,≤50,22,25
1994,ACT,≤50,15,17
1994,NSW,100,202,262
1994,NSW,110+,28,35
1994,NSW,60,228,243
1994,NSW,70–80,75,86
1994,NSW,90,17,18
1994,NSW,≤50,2,2
1994,NT,100,3,3
1994,NT,60,2,2
1994,NT,70–80,5,5
1994,NT,≤50,26,31
1994,QLD,100,159,198
1994,QLD,110+,6,7
1994,QLD,60,145,152
1994,QLD,70–80,45,50
1994,QLD,90,4,6
1994,QLD,≤50,5,5
1994,SA,100,16,20
1994,SA,110+,57,62
1994,SA,60,59,65
1994,SA,70–80,9,10
1994,SA,≤50,2,2
1994,TAS,100,30,33
1994,TAS,110+,2,3
1994,TAS,60,15,17
1994,TAS,70–80,5,6
1994,VIC,100,160,175
1994,VIC,110+,8,11
1994,VIC,60,113,117
1994,VIC,70–80,58,68
1994,VIC,90,2,2
1994,VIC,Other,1,1
1994,VIC,≤50,3,3
1994,WA,100,5,5
1994,WA,110+,88,102
1994,WA,60,65,67
1994,WA,70–80,26,26
1994,WA,90,8,8
1994,WA,≤50,3,3
1995,ACT,≤50,14,15
1995,NSW,100,190,215
1995,NSW,110+,32,36
1995,NSW,60,222,233
1995,NSW,70–80,98,113
1995,NSW,90,18,20
1995,NSW,≤50,3,3
1995,NT,100,5,5
1995,NT,60,7,7
1995,NT,70–80,8,8
1995,NT,90,1,1
1995,NT,≤50,35,40
1995,QLD,100,202,236
1995,QLD,110+,5,5
1995,QLD,60,152,158
1995,QLD,70–80,43,50
1995,QLD,90,3,4
1995,QLD,≤50,3,3
1995,SA,100,28,32
1995,SA,110+,59,73
1995,SA,60,56,56
1995,SA,70–80,16,16
1995,SA,90,1,1
1995,SA,≤50,3,3
1995,TAS,100,30,33
1995,TAS,110+,1,1
1995,TAS,60,18,19
1995,TAS,70–80,4,4
1995,VIC,100,164,196
1995,VIC,110+,8,9
1995,VIC,60,126,133
1995,VIC,70–80,66,72
1995,VIC,90,4,5
1995,VIC,≤50,3,3
1995,WA,100,4,4
1995,WA,110+,85,91
1995,WA,60,53,54
1995,WA,70–80,36,36
1995,WA,90,8,13
1995,WA,≤50,8,11
1996,ACT,≤50,17,23
1996,NSW,100,156,181
1996,NSW,110+,21,23
1996,NSW,60,230,237
1996,NSW,70–80,118,123
1996,NSW,90,9,13
1996,NSW,≤50,4,4
1996,NT,100,3,7
1996,NT,60,5,5
1996,NT,70–80,10,14
1996,NT,≤50,40,46
1996,QLD,100,140,169
1996,QLD,110+,10,12
1996,QLD,60,142,149
1996,QLD,70–80,38,47
1996,QLD,90,1,1
1996,QLD,≤50,7,7
1996,SA,100,38,38
1996,SA,110+,56,71
1996,SA,60,53,57
1996,SA,70–80,13,13
1996,SA,90,2,2
1996,TAS,100,33,42
1996,TAS,110+,5,5
1996,TAS,60,11,13
1996,TAS,70–80,3,3
1996,TAS,90,1,1
1996,VIC,100,167,189
1996,VIC,110+,14,15
1996,VIC,60,120,126
1996,VIC,70–80,70,76
1996,VIC,90,6,6
1996,VIC,≤50,5,5
1996,WA,100,6,6
1996,WA,110+,94,115
1996,WA,60,79,83
1996,WA,70–80,30,32
1996,WA,90,11,11
1997,ACT,≤50,17,17
1997,NSW,100,168,190
1997,NSW,110+,42,49
1997,NSW,60,217,227
1997,NSW,70–80,85,92
1997,NSW,90,11,16
1997,NSW,≤50,2,2
1997,NT,100,3,3
1997,NT,60,9,9
1997,NT,70–80,10,10
1997,NT,≤50,34,38
1997,QLD,100,157,182
1997,QLD,110+,6,6
1997,QLD,60,115,123
1997,QLD,70–80,41,47
1997,QLD,90,1,1
1997,QLD,≤50,1,1
1997,SA,100,31,37
1997,SA,110+,40,57
1997,SA,60,46,47
1997,SA,70–80,6,7
1997,TAS,100,23,26
1997,TAS,110+,3,3
1997,TAS,60,2,2
1997,TAS,70–80,1,1
1997,VIC,100,164,185
1997,VIC,110+,9,11
1997,VIC,60,108,112
1997,VIC,70–80,61,65
1997,VIC,90,2,2
1997,VIC,≤50,2,2
1997,WA,100,6,6
1997,WA,110+,76,82
1997,WA,60,57,58
1997,WA,70–80,35,36
1997,WA,90,8,13
1997,WA,≤50,2,2
1998,ACT,≤50,20,22
1998,NSW,100,175,209
1998,NSW,110+,28,38
1998,NSW,60,191,204
