year,month,state_code,deaths
1989,1,ACT,2
1989,1,NSW,55
1989,1,NT,2
1989,1,QLD,27
1989,1,SA,27
1989,1,TAS,14
1989,1,VIC,76
1989,1,WA,25
1989,2,ACT,2
1989,2,NSW,82
1989,2,NT,2
1989,2,QLD,27
1989,2,SA,14
1989,2,TAS,7
1989,2,VIC,65
1989,2,WA,12
1989,3,ACT,3
1989,3,NSW,82
1989,3,NT,3
1989,3,QLD,42
1989,3,SA,18
1989,3,TAS,8
1989,3,VIC,80
1989,3,WA,20
1989,4,ACT,8
1989,4,NSW,45
1989,4,NT,10
1989,4,QLD,24
1989,4,SA,23
1989,4,TAS,5
1989,4,VIC,59
1989,4,WA,14
1989,5,NSW,77
1989,5,NT,4
1989,5,QLD,31
1989,5,SA,12
1989,5,TAS,7
1989,5,VIC,67
1989,5,WA,15
1989,6,ACT,2
1989,6,NSW,97
1989,6,NT,7
1989,6,QLD,28
1989,6,SA,19
1989,6,TAS,10
1989,6,VIC,73
1989,6,WA,21
1989,7,ACT,1
1989,7,NSW,75
1989,7,NT,7
1989,7,QLD,42
1989,7,SA,9
1989,7,TAS,6
1989,7,VIC,52
1989,7,WA,22
1989,8,ACT,2
1989,8,NSW,64
1989,8,NT,4
1989,8,QLD,32
1989,8,SA,15
1989,8,TAS,7
1989,8,VIC,65
1989,8,WA,22
1989,9,ACT,5
1989,9,NSW,93
1989,9,NT,4
1989,9,QLD,36
1989,9,SA,20
1989,9,TAS,6
1989,9,VIC,82
1989,9,WA,23
1989,10,ACT,2
1989,10,NSW,96
1989,10,NT,4
1989,10,QLD,41
1989,10,SA,26
1989,10,TAS,1
1989,10,VIC,50
1989,10,WA,21
1989,11,ACT,2
1989,11,NSW,69
1989,11,NT,6
1989,11,QLD,51
1989,11,SA,14
1989,11,TAS,5
1989,11,VIC,41
1989,11,WA,17
1989,12,ACT,3
1989,12,NSW,124
1989,12,NT,8
1989,12,QLD,47
1989,12,SA,25
1989,12,TAS,4
1989,12,VIC,66
1989,12,WA,30
1990,1,ACT,2
1990,1,NSW,52
1990,1,NT,9
1990,1,QLD,23
1990,1,SA,16
1990,1,TAS,8
1990,1,VIC,48
1990,1,WA,16
1990,2,NSW,52
1990,2,NT,2
1990,2,QLD,28
1990,2,SA,17
1990,2,TAS,9
1990,2,VIC,44
1990,2,WA,14
1990,3,NSW,87
1990,3,NT,7
1990,3,QLD,32
1990,3,SA,20
1990,3,TAS,7
1990,3,VIC,55
1990,3,WA,13
1990,4,NSW,57
1990,4,NT,5
1990,4,QLD,29
1990,4,SA,15
1990,4,TAS,6
1990,4,VIC,39
1990,4,WA,24
1990,5,ACT,3
1990,5,NSW,59
1990,5,NT,7
1990,5,QLD,30
1990,5,SA,19
1990,5,TAS,1
1990,5,VIC,56
1990,5,WA,11
1990,6,ACT,1
1990,6,NSW,70
1990,6,NT,2
1990,6,QLD,39
1990,6,SA,14
