STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,SEX,Sex,AGE,Age,REGION,Region,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2020-Q3,,9480,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2020-Q4,,8541,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2021-Q1,,8865,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2021-Q2,,9661,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2021-Q3,,8402,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2021-Q4,,7728,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2022-Q1,,6544,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2022-Q2,,5061,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2022-Q3,,4961,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2022-Q4,,3734,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2023-Q1,,2452,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2023-Q2,,1431,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2023-Q3,,1029,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2023-Q4,,871,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2024-Q1,,1129,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2024-Q2,,1015,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2024-Q3,,1174,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2024-Q4,,1267,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,6,Tasmania,Q,Quarterly,2025-Q1,,1144,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2020-Q3,,1792178,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2020-Q4,,1794514,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q1,,1798586,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q2,,1802601,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q3,,1803789,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q4,,1807839,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q1,,1818356,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q2,,1824969,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q3,,1833331,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2022-Q4,,1840187,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q1,,1851014,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q2,,1857646,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q3,,1865760,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2023-Q4,,1870937,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q1,,1878655,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q2,,1882175,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q3,,1887038,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2024-Q4,,1891270,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,1,Estimated Resident Population,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2025-Q1,,1898587,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2020-Q3,,18172,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2020-Q4,,15586,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q1,,10739,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q2,,12246,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q3,,11611,,PSNS,Persons,,,,
DATAFLOW,ABS:ERP_Q(1.0.0),"Quarterly Population Estimates (ERP), by State/Territory, Sex and Age",I,2,ERP Change Over Previous Year,3,Persons,TOT,All ages,4,South Australia,Q,Quarterly,2021-Q4,,13325,,PSNS,Persons,,,,
